Ticker Pair,Industry,Correlation,Avg P-Value,Tests Run
BFIN/LSBK,Banks - Regional,0.8407,0.16248,624
PNFP/SFBC,Banks - Regional,0.9572,0.16265,624
FNB/PGC,Banks - Regional,0.8268,0.1627,624
FNB/OVLY,Banks - Regional,0.855,0.16275,624
CATY/PFBC,Banks - Regional,0.9779,0.16275,624
CWBC/CZWI,Banks - Regional,0.9401,0.16275,624
CATY/SBFG,Banks - Regional,0.9463,0.16284,624
BCAL/FRME,Banks - Regional,0.9007,0.16287,624
RNST/SFBC,Banks - Regional,0.8652,0.16298,624
FNLC/MGYR,Banks - Regional,0.9382,0.16302,624
CTBI/IBCP,Banks - Regional,0.9754,0.16302,624
ATLO/SBFG,Banks - Regional,0.8317,0.16308,624
FNLC/INDB,Banks - Regional,0.9441,0.16319,624
HBAN/MPB,Banks - Regional,0.9514,0.16325,624
NRIM/PLBC,Banks - Regional,0.9274,0.16325,624
ONB/PEBO,Banks - Regional,0.9605,0.16331,624
ATLO/FFIC,Banks - Regional,0.9091,0.16349,624
SFST/WTBA,Banks - Regional,0.9676,0.16357,624
CAC/CZNC,Banks - Regional,0.9591,0.16361,624
FFBC/UNB,Banks - Regional,0.8705,0.16386,624
FULT/UVSP,Banks - Regional,0.9679,0.16398,624
AROW/BOTJ,Banks - Regional,0.9351,0.16436,624
BCAL/FULT,Banks - Regional,0.8815,0.16442,624
BANR/BOTJ,Banks - Regional,0.9322,0.16454,624
FCCO/FNLC,Banks - Regional,0.9537,0.16457,624
LSBK/PFBC,Banks - Regional,0.8441,0.1646,624
OCFC/WASH,Banks - Regional,0.9417,0.1646,624
PWOD/TRST,Banks - Regional,0.8553,0.16482,624
FCCO/PEBK,Banks - Regional,0.9661,0.16488,624
ABCB/BOTJ,Banks - Regional,0.9446,0.16494,624
CCNE/CIVB,Banks - Regional,0.962,0.16511,624
FNLC/SMBK,Banks - Regional,0.9495,0.16539,624
CAC/HFBL,Banks - Regional,0.9254,0.16542,624
FNB/SRCE,Banks - Regional,0.9179,0.16553,624
BCAL/BOKF,Banks - Regional,0.8928,0.16571,624
BCAL/FCF,Banks - Regional,0.9121,0.16574,624
FNB/IBCP,Banks - Regional,0.9074,0.16584,624
CZWI/FRME,Banks - Regional,0.9609,0.16587,624
DCOM/SFBC,Banks - Regional,0.8339,0.16594,624
CMA/LSBK,Banks - Regional,0.8801,0.16598,624
MPB/PFBC,Banks - Regional,0.9416,0.16625,624
BCAL/INDB,Banks - Regional,0.871,0.16648,624
SFBC/WASH,Banks - Regional,0.8107,0.16657,624
EBTC/UVSP,Banks - Regional,0.9564,0.16662,624
DCOM/SMBK,Banks - Regional,0.8938,0.16671,624
CADE/FCCO,Banks - Regional,0.9364,0.16671,624
FCCO/FULT,Banks - Regional,0.9478,0.16678,624
PFBC/SMBC,Banks - Regional,0.9836,0.16681,624
ATLO/RVSB,Banks - Regional,0.896,0.16712,624
BUSE/MPB,Banks - Regional,0.9579,0.16714,624
BCAL/CFR,Banks - Regional,0.8961,0.16717,624
FFBC/OCFC,Banks - Regional,0.8895,0.16749,624
FBNC/FNWD,Banks - Regional,0.866,0.1675,624
