Ticker Pair,Industry,Correlation,Avg P-Value,Tests Run,,LBTYA/LBTYB,Telecom Services,0.9916,0.00086,624,,Telecom Services
MHN/MUC,Asset Management,0.9924,0.10191,624,,,,,,,,
FNLC/PBHC,Banks - Regional,0.9497,0.10214,624,,,,,,,,
IQI/NXN,Asset Management,0.9776,0.10238,624,,,,,,,,
CBFV/SRCE,Banks - Regional,0.9535,0.10241,624,,,,,,,,
BTA/NVG,Asset Management,0.9865,0.10258,624,,,,,,,,
BTA/PMO,Asset Management,0.9884,0.10275,624,,,,,,,,
IBIO/VXRT,Biotechnology,0.8129,0.10284,624,,,,,,,,
EVN/NAC,Asset Management,0.9901,0.10285,624,,,,,,,,
AFB/MPA,Asset Management,0.9844,0.10289,624,,,,,,,,
MVF/SBI,Asset Management,0.9811,0.10305,624,,,,,,,,
BUSE/MGYR,Banks - Regional,0.9291,0.10306,624,,,,,,,,
EOT/MUA,Asset Management,0.9808,0.10318,624,,,,,,,,
AFB/MIY,Asset Management,0.9822,0.10352,624,,,,,,,,
BOH/BOTJ,Banks - Regional,0.9534,0.10355,624,,,,,,,,
NXN/VCV,Asset Management,0.9696,0.10357,624,,,,,,,,
FMN/MYN,Asset Management,0.9891,0.10402,624,,,,,,,,
ETB/EVT,Asset Management,0.9885,0.10403,624,,,,,,,,
MVT/VCV,Asset Management,0.9575,0.10412,624,,,,,,,,
AUB/IBCP,Banks - Regional,0.9383,0.10472,624,,,,,,,,
MFM/NXN,Asset Management,0.9708,0.10497,624,,,,,,,,
BFK/NXN,Asset Management,0.9419,0.10508,624,,,,,,,,
MYI/NMT,Asset Management,0.9549,0.10532,624,,,,,,,,
AFB/NEA,Asset Management,0.9823,0.10539,624,,,,,,,,
CBFV/PFBC,Banks - Regional,0.9267,0.10542,624,,,,,,,,
EOT/HPI,Asset Management,0.935,0.1056,624,,,,,,,,
FNLC/SBFG,Banks - Regional,0.955,0.10567,624,,,,,,,,
CAC/HBNC,Banks - Regional,0.9652,0.10568,624,,,,,,,,
BYM/EVN,Asset Management,0.9881,0.10575,624,,,,,,,,
BCAL/CATY,Banks - Regional,0.892,0.10588,624,,,,,,,,
DJCO/TYL,Software - Application,0.9453,0.10615,624,,,,,,,,
MVT/NMI,Asset Management,0.9488,0.10631,624,,,,,,,,
MVF/NMT,Asset Management,0.9529,0.10643,624,,,,,,,,
BFK/VCV,Asset Management,0.9686,0.10659,624,,,,,,,,
BLE/NNY,Asset Management,0.958,0.10669,624,,,,,,,,
NKX/NXC,Asset Management,0.9782,0.10691,624,,,,,,,,
FMN/MUC,Asset Management,0.9872,0.10693,624,,,,,,,,
BTA/MIY,Asset Management,0.9865,0.10713,624,,,,,,,,
BCAL/OCFC,Banks - Regional,0.8099,0.10718,624,,,,,,,,
MPA/NQP,Asset Management,0.9862,0.10728,624,,,,,,,,
CZWI/EBTC,Banks - Regional,0.9593,0.10733,624,,,,,,,,
BANR/MGYR,Banks - Regional,0.9665,0.10733,624,,,,,,,,
